timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1578491304466,170,Search,200,OK,Main 1-11,text,true,,95944,859,18,18,https://www.bing.com:443/?toWww=1&redig=4FD17820175C4532A18E6E8442224D34,86,0,0
1578491304466,86,Search-0,301,,Main 1-11,text,true,,593,402,18,18,https://bing.com/,86,0,0
1578491304552,84,Search-1,200,OK,Main 1-11,text,true,,95351,457,18,18,https://www.bing.com:443/?toWww=1&redig=4FD17820175C4532A18E6E8442224D34,82,0,0
1578491304415,247,Login,200,OK,Main 1-18,text,true,,97533,829,18,18,https://www.bing.com:443/?toWww=1&redig=3A0C9A7FCE9D4A62BDDB961458543902,98,0,34
1578491304415,98,Login-0,301,,Main 1-18,text,true,,1011,113,18,18,https://bing.com/,98,0,34
1578491304513,125,Login-1,200,OK,Main 1-18,text,true,,95870,276,18,18,https://www.bing.com:443/?toWww=1&redig=3A0C9A7FCE9D4A62BDDB961458543902,107,0,33
1578491304640,22,Login-2,200,OK,Main 1-18,bin,true,,652,440,18,18,https://www.bing.com:443/sa/simg/bing_p_rr_teal_min.ico,22,0,0
1578491304666,270,Search,200,OK,Main 1-7,text,true,,97533,829,20,20,https://www.bing.com:443/?toWww=1&redig=6E96AB7FCA1A42B6B8461B22A9B36AFC,97,0,34
1578491304666,97,Search-0,301,,Main 1-7,text,true,,1011,113,20,20,https://bing.com/,97,0,34
1578491304764,143,Search-1,200,OK,Main 1-7,text,true,,95870,276,20,20,https://www.bing.com:443/?toWww=1&redig=6E96AB7FCA1A42B6B8461B22A9B36AFC,125,0,43
1578491304912,24,Search-2,200,OK,Main 1-7,bin,true,,652,440,20,20,https://www.bing.com:443/sa/simg/bing_p_rr_teal_min.ico,24,0,0
1578491304666,271,Login,200,OK,Main 1-19,text,true,,97533,829,20,20,https://www.bing.com:443/?toWww=1&redig=358001D232644751A0C731B0C2BDD5C8,100,0,34
1578491304666,100,Login-0,301,,Main 1-19,text,true,,1011,113,20,20,https://bing.com/,100,0,34
1578491304767,141,Login-1,200,OK,Main 1-19,text,true,,95870,276,20,20,https://www.bing.com:443/?toWww=1&redig=358001D232644751A0C731B0C2BDD5C8,122,0,40
1578491304914,23,Login-2,200,OK,Main 1-19,bin,true,,652,440,20,20,https://www.bing.com:443/sa/simg/bing_p_rr_teal_min.ico,23,0,0
1578491304865,234,Search,200,OK,Main 1-12,text,true,,95943,859,20,20,https://www.bing.com:443/?toWww=1&redig=A1F3281FBA4A4FE780474F30FA179FC7,85,0,0
1578491304865,85,Search-0,301,,Main 1-12,text,true,,593,402,20,20,https://bing.com/,85,0,0
1578491304950,149,Search-1,200,OK,Main 1-12,text,true,,95350,457,20,20,https://www.bing.com:443/?toWww=1&redig=A1F3281FBA4A4FE780474F30FA179FC7,147,0,0
1578491304918,336,Login,200,OK,Main 1-20,text,true,,97533,829,20,20,https://www.bing.com:443/?toWww=1&redig=172FAF2F6FA2402494845240F7E40194,186,0,55
1578491304918,186,Login-0,301,,Main 1-20,text,true,,1011,113,20,20,https://bing.com/,186,0,55
1578491305104,127,Login-1,200,OK,Main 1-20,text,true,,95870,276,20,20,https://www.bing.com:443/?toWww=1&redig=172FAF2F6FA2402494845240F7E40194,110,0,34
1578491305234,20,Login-2,200,OK,Main 1-20,bin,true,,652,440,20,20,https://www.bing.com:443/sa/simg/bing_p_rr_teal_min.ico,20,0,0
